id,region,price,requests,pledge,weight,sender,senderImg,themeColor,themeColorHex,bgImgUrl,rating,ratingCount,fromStreet,fromCity,toStreet,toCity,delivTime,delivDate,delivDateNoun,reqDl,fromLat,fromLng,toLat,toLng
2618-3188,Provence-Alpes-Côte d'Azur,72,21,420,180,Jade Lambert,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,purple,#BA68C8,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-5.jpg,5,47,Promenade des Anglais,06000 Nice,Boulevard d'Aguillon,06600 Antibes,,,Today,24 minutes,43.695,7.265,43.581,7.128
2618-3187,Provence-Alpes-Côte d'Azur,58,13,310,110,Raphaël Bonnet,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,green,#52A43A,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-6.jpg,4,20,Cours Mirabeau,13100 Aix-en-Provence,Gare TGV,13290 Aix-en-Provence,,,Today,24 minutes,43.527,5.447,43.455,5.317
2618-3186,Nouvelle-Aquitaine,99,33,611,432,Manon Lefèvre,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,orange,#F7AA17,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-7.jpg,2,12,Cours de l'Intendance,33000 Bordeaux,Quai de Bacalan,33300 Bordeaux,,,Today,24 minutes,44.8425,-0.577,44.865,-0.553
2618-3185,Nouvelle-Aquitaine,27,7,160,60,Arthur Rousseau,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,red,#EF5350,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-8.jpg,4,18,Place de la Victoire,33000 Bordeaux,Avenue Thiers,33100 Bordeaux,,,Today,24 minutes,44.831,-0.572,44.843,-0.555
2618-3184,Nouvelle-Aquitaine,31,5,175,52,Louise Vincent,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,purple,#BA68C8,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-1.jpg,5,14,Quai Duperré,17000 La Rochelle,Avenue Michel Crépeau,17000 La Rochelle,,,Today,24 minutes,46.159,-1.152,46.148,-1.154
2618-3183,Hauts-de-France,61,15,318,130,Nathan Roux,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,green,#52A43A,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-2.jpg,3,19,Rue Faidherbe,59800 Lille,Grande Rue,59100 Roubaix,,,Today,24 minutes,50.6375,3.068,50.6905,3.178
2618-3182,Hauts-de-France,38,9,205,75,Zoé Muller,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,orange,#F7AA17,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-3.jpg,4,22,Grand Place,59800 Lille,Boulevard du Breucq,59650 Villeneuve-d'Ascq,,,Today,24 minutes,50.637,3.0635,50.64,3.13
2618-3181,Pays de la Loire,28,6,140,40,Théo Mercier,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,red,#EF5350,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-4.jpg,5,23,Place du Commerce,44000 Nantes,Rue Jean Jaurès,44400 Rezé,,,Today,24 minutes,47.213,-1.559,47.192,-1.552
2618-3180,Pays de la Loire,24,5,120,35,Lina Faure,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,purple,#BA68C8,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-5.jpg,4,13,Place du Ralliement,49100 Angers,Avenue Montaigne,49100 Angers,,,Today,24 minutes,47.4715,-0.552,47.469,-0.531
2618-3179,Grand Est,45,11,260,95,Sarah Garnier,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,green,#52A43A,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-6.jpg,4,30,Place Kléber,67000 Strasbourg,Allée de la Robertsau,67000 Strasbourg,,,Today,24 minutes,48.5835,7.7458,48.59,7.77
2618-3178,Grand Est,36,8,200,68,Adam Chevalier,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,orange,#F7AA17,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-7.jpg,5,25,Place Stanislas,54000 Nancy,Avenue de la Libération,54000 Nancy,,,Today,24 minutes,48.6936,6.183,48.7,6.165
2618-3177,Bretagne,29,7,165,58,Rose Gauthier,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,red,#EF5350,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-8.jpg,5,31,Place de la Mairie,35000 Rennes,Avenue Henri Fréville,35200 Rennes,,,Today,24 minutes,48.1115,-1.679,48.093,-1.675
2618-3176,Bretagne,21,4,110,38,Maël Le Gall,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,purple,#BA68C8,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-1.jpg,4,16,Rue de Siam,29200 Brest,Rue Jean Jaurès,29200 Brest,,,Today,24 minutes,48.389,-4.488,48.397,-4.48
